上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:104/09/03
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"006201","寶富櫃","10.05","+ 0.10 ","10.04","10.13","9.96","45,000","452,410","17","10.05","10.10","31,446,000","11.05","9.05"
"1256","F-鮮活","138.00","+ 1.00 ","137.00","139.00","137.00","13,000","1,794,000","12","137.50","139.50","27,165,600","151.50","124.50"
"1258","F-其祥","38.05","+ 0.55 ","37.70","38.70","37.50","217,000","8,282,750","151","38.05","38.45","34,000,000","41.85","34.25"
"1259","安心","60.00","0.00 ","59.90","60.20","59.90","22,000","1,320,100","18","60.00","60.40","32,389,500","66.00","54.00"
"1264","德麥","171.00","+ 4.00 ","168.00","173.00","168.00","26,000","4,456,000","23","171.00","171.50","30,632,700","188.00","154.00"
"1333","恩得利","5.18","+ 0.25 ","4.93","5.23","4.93","98,000","503,940","39","5.08","5.20","102,525,625","5.69","4.67"
"1336","台翰","7.80","+ 0.49 ","7.36","7.86","7.35","150,000","1,141,160","50","7.61","7.80","62,753,230","8.58","7.02"
"1565","精華","349.50","- 1.50 ","357.00","358.00","344.00","627,000","219,950,500","511","349.50","351.00","50,416,516","384.00","315.00"
"1566","捷邦","18.05","+ 1.60 ","18.00","18.05","18.00","355,000","6,402,100","140","18.05","0.00","66,867,028","19.85","16.25"
"1569","濱川","8.56","+ 0.49 ","8.11","8.80","8.04","178,000","1,478,560","89","8.55","8.56","93,784,745","9.41","7.71"
"1570","力肯","22.00","+ 0.20 ","22.20","22.95","21.55","3,741,000","83,132,000","1,773","21.90","22.00","51,500,839","24.20","19.80"
"1580","新麥","103.50","0.00 ","104.00","106.50","103.00","79,000","8,250,500","72","103.00","105.00","48,531,634","113.50","93.20"
"1584","精剛","14.05","+ 0.15 ","14.05","14.35","14.00","450,000","6,361,150","188","14.05","14.10","103,470,533","15.45","12.65"
"1586","和勤","19.30","+ 0.10 ","19.35","19.35","19.20","68,000","1,310,200","21","19.30","19.35","46,643,273","21.20","17.40"
